id,generic_name,form,dosage,available,sale_type,price_tnd,lang
MED01502,Hydrocortisone,Capsule,1000 mg,No,OTC,74.75,en
MED02587,Magnesium,Syrup,40 mg,No,Prescription only,11.12,en
MED02654,Ketoprofen,Capsule,100 µg/dose,No,OTC,30.31,en
MED01056,Loratadine,Ointment,400 mg,Yes,Prescription only,32.56,en
MED00706,Pantoprazole,Inhaler,500 mg,Yes,Prescription only,13.43,en
MED00107,Losartan,Cream,5 mg,No,Prescription only,8.4,en
MED00590,Ranitidine,Cream,250 mg,No,Prescription only,5.22,en
MED02469,Folic acid,Injection,40 mg,Yes,OTC,2.83,en
MED02414,Hydrocortisone,Syrup,250 mg,Yes,Prescription only,17.28,en
MED01601,Magnesium,Oral solution,20 mg,Yes,Prescription only,27.09,en
MED02465,Diclofenac,Ointment,100 µg/dose,No,Prescription only,30.65,en
MED00229,Atorvastatin,Oral solution,40 mg,No,Prescription only,33.06,en
MED00916,Gliclazide,Oral solution,500 mg,No,OTC,34.65,en
MED00795,Atorvastatin,Ointment,100 µg/dose,Yes,Prescription only,18.35,en
MED03022,Hydrocortisone,Syrup,1000 mg,Yes,OTC,1.94,en
MED03544,Zinc,Cream,40 mg,Yes,Prescription only,39.45,en
MED01074,Gliclazide,Oral suspension,40 mg,Yes,OTC,14.5,en
MED03352,Cetirizine,Syrup,300 mg,No,Prescription only,58.31,en
MED01745,Diazepam,Oral solution,1 %,Yes,Prescription only,40.1,en
MED01085,Bromhexine,Tablet,100 µg/dose,Yes,Prescription only,53.75,en
MED00927,Ramipril,Cream,1 %,Yes,Prescription only,9.99,en
MED03050,Losartan,Syrup,500 mg,No,Prescription only,24.34,en
MED01118,NPH insulin,Injection,10 mg,No,Prescription only,33.65,en
MED00643,Bisoprolol,Oral solution,100 µg/dose,No,Prescription only,10.56,en
MED04768,Furosemide,Injection,1 %,No,Prescription only,4.89,en
MED00502,Fluoxetine,Oral suspension,20 mg,Yes,Prescription only,17.92,en
MED04067,Folic acid,Oral suspension,2 %,Yes,OTC,29.1,en
MED00334,Rosuvastatin,Capsule,5 mg/ml,No,Prescription only,29.36,en
MED04685,Ciprofloxacin,Cream,40 mg,Yes,Prescription only,63.58,en
MED00487,Propranolol,Syrup,500 mg,Yes,Prescription only,12.85,en
MED01963,Escitalopram,Tablet,500 mg,No,Prescription only,68.88,en
MED00394,Bromhexine,Cream,10 mg,No,Prescription only,16.16,en
MED04843,Furosemide,Injection,5 mg,No,Prescription only,9.11,en
MED04867,Nystatin,Syrup,1000 mg,Yes,Prescription only,23.71,en
MED01756,Sitagliptin,Inhaler,20 mg,Yes,Prescription only,46.7,en
MED02516,Tablet,100 mg,Yes,Prescription only,51.23,en,
MED03586,Hydrocortisone,Syrup,100 µg/dose,Yes,Prescription only,23.18,en
MED04316,Insulin glargine,Capsule,500 mg,Yes,Prescription only,26.14,en
MED04967,Cetirizine,Tablet,400 mg,Yes,Prescription only,7.61,en
MED02100,Fluoxetine,Inhaler,5 mg,No,Prescription only,92.82,en
MED03600,Rapid-acting insulin,Cream,100 µg/dose,No,Prescription only,22.1,en
MED04122,Bromhexine,Tablet,20 mg,No,OTC,52.14,en
MED00030,Loratadine,Inhaler,400 mg,No,Prescription only,40.86,en
MED00066,Ciprofloxacin,Inhaler,500 mg,Yes,Prescription only,59.64,en
MED00839,Sertraline,Capsule,20 mg,Yes,Prescription only,79.65,en
MED03907,Magnesium,Syrup,100 µg/dose,No,OTC,35.67,en
MED03774,Naproxen,Inhaler,5 mg/ml,No,Prescription only,3.79,en
MED04636,Gliclazide,Oral solution,10 mg,No,Prescription only,51.94,en
MED03162,Guaifenesin,Injection,100 mg,No,Prescription only,73.97,en
MED02660,Guaifenesin,Injection,1000 mg,Yes,Prescription only,59.99,en
MED04616,Salbutamol,Oral solution,1 %,No,OTC,18.79,en
MED04629,Ibuprofen,Cream,500 mg,No,OTC,36.28,en
MED02452,Ambroxol,Oral solution,5 mg,Yes,OTC,1.97,en
MED02847,Losartan,Oral suspension,40 mg,No,Prescription only,44.77,en
MED01145,Losartan,Ointment,500 mg,No,Prescription only,30.57,en
MED03079,Atorvastatin,Syrup,250 mg,Yes,OTC,45.24,en
MED01104,Doxycycline,Oral solution,400 mg,Yes,Prescription only,10.18,en
MED00169,Sitagliptin,Inhaler,300 mg,Yes,Prescription only,52.86,en
MED01671,Bromhexine,Inhaler,10 mg,Yes,OTC,16.45,en
MED02571,Atorvastatin,Injection,850 mg,Yes,OTC,19.2,en
MED02378,Sertraline,Inhaler,5 mg,Yes,Prescription only,19.18,en
MED04396,Ezetimibe,Capsule,200 mg,Yes,Prescription only,4.14,en
